Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2019",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA3,Hoover,114,4,15,27,68,"1,922",128,"1,694",100,2
ALASKA,Anchorage,"3,581",32,540,621,"2,388","12,261","1,692","9,038","1,531",93
,Bethel,130,1,47,3,79,132,20,84,28,12
,Bristol Bay Borough,2,0,0,0,2,20,5,8,7,0
,Cordova,0,0,0,0,0,7,1,6,0,0
,Craig,7,0,0,0,7,20,5,12,3,0
,Dillingham,49,1,3,1,44,58,11,37,10,0
,Fairbanks,247,3,33,52,159,"1,353",163,"1,006",184,23
,Haines,9,0,0,0,9,13,1,10,2,0
,Homer,12,0,0,0,12,146,11,118,17,
,Juneau,289,3,24,45,217,"1,292",187,"1,012",93,16
,Kenai,75,2,28,3,42,446,46,353,47,2
,Ketchikan,40,0,9,1,30,421,32,368,21,2
,Kodiak,49,0,14,4,31,190,37,122,31,3
,Kotzebue,77,0,22,7,48,83,19,47,17,2
,Nome,107,0,59,1,47,53,14,32,7,0
,North Pole,16,0,3,0,13,79,12,63,4,1
,North Slope Borough,123,2,6,0,115,72,18,46,8,3
,Palmer,21,1,1,3,16,204,19,158,27,0
,Petersburg,10,0,0,0,10,88,12,74,2,0
,Seward,9,0,6,0,3,105,14,85,6,0
,Sitka,16,0,2,4,10,168,18,139,11,0
,Skagway,1,0,1,0,0,9,0,7,2,0
,Soldotna,13,0,2,1,10,142,9,125,8,0
,Unalaska,7,0,0,1,6,39,2,34,3,0
,Valdez,5,0,0,0,5,40,2,34,4,0
,Wasilla,48,1,5,14,28,580,115,425,40,4
,Wrangell,2,0,2,0,0,11,3,7,1,0
ARIZONA,Apache Junction4,95,2,12,14,67,,,453,88,6
,Avondale,251,1,21,82,147,"3,095",381,"2,467",247,16
,Buckeye,107,2,26,10,69,"1,265",146,"1,050",69,1
,Bullhead City,129,2,23,25,79,"1,352",235,981,136,9
,Camp Verde,46,0,3,0,43,265,62,187,16,1
,Casa Grande5,274,2,27,33,212,"1,336",149,"1,071",116,11
,Chandler,593,4,134,102,353,"5,382",547,"4,458",377,19
,Chino Valley,37,0,1,0,36,154,32,107,15,0
,Clarkdale,3,0,0,0,3,44,16,26,2,0
,Coolidge5,70,2,2,5,61,393,73,290,30,5
,Cottonwood,45,0,0,5,40,422,37,359,26,2
,Douglas,10,0,0,0,10,594,88,486,20,0
,Eagar5,11,0,3,1,7,21,7,13,1,0
,El Mirage,84,2,22,14,46,982,362,523,97,5
,Flagstaff,367,1,42,43,281,"2,371",140,"2,169",62,33
,Florence,44,1,5,1,37,74,9,58,7,0
,Fredonia,1,0,0,0,1,13,3,8,2,0
,Gilbert,245,1,48,45,151,"3,050",403,"2,493",154,11
,Glendale,863,17,63,233,550,"8,083","1,416","5,857",810,
,Globe,134,0,0,4,130,525,70,424,31,1
,Goodyear,172,1,33,19,119,"2,045",330,"1,608",107,0
,Hayden,8,0,0,1,7,35,19,13,3,2
,Holbrook,39,0,1,6,32,324,86,212,26,3
,Huachuca City,6,1,4,0,1,20,6,12,2,0
,Jerome,1,0,0,0,1,19,7,12,0,0
,Kearny,1,0,1,0,0,14,7,6,1,1
,Kingman,100,0,9,12,79,"1,342",208,"1,039",95,28
,Lake Havasu City,87,1,29,3,54,670,108,519,43,2
,Mammoth,3,0,0,1,2,14,0,12,2,0
,Marana,35,0,7,9,19,"1,132",70,"1,020",42,2
,Maricopa,85,1,11,4,69,604,58,491,55,2
,Mesa,"1,953",11,286,390,"1,266","9,683","1,518","7,326",839,27
,Miami,27,0,0,3,24,31,30,1,0,1
,Nogales,41,0,0,0,41,608,66,409,133,0
,Oro Valley,22,1,8,3,10,588,49,515,24,0
,Page,126,1,9,9,107,537,53,456,28,0
,Paradise Valley,10,0,5,2,3,161,35,119,7,0
,Parker,2,0,0,1,1,81,20,56,5,0
,Payson,59,0,1,4,54,288,60,208,20,3
,Peoria,407,4,70,83,250,"3,273",438,"2,592",243,9
,Phoenix,"11,803",131,"1,139","3,197","7,336","55,974","9,471","39,427","7,076",201
,Pima,0,0,0,0,0,36,10,21,5,0
,Pinetop-Lakeside,21,0,4,1,16,143,32,104,7,0
,Prescott,214,1,20,11,182,684,134,518,32,5
,Prescott Valley,93,3,11,6,73,474,51,404,19,2
,Safford,21,0,0,0,21,363,33,311,19,0
,Sahuarita,43,1,11,6,25,345,44,272,29,3
,San Luis5,33,0,0,2,31,420,53,262,105,2
,Scottsdale,415,3,136,110,166,"5,099",662,"4,173",264,15
,Show Low,59,0,6,2,51,332,38,277,17,0
,Sierra Vista,116,2,7,16,91,987,124,800,63,3
,Snowflake-Taylor,53,1,0,1,51,151,51,85,15,0
,Somerton5,36,6,1,4,25,129,25,80,24,0
,Springerville,0,0,0,0,0,11,4,7,0,0
,St. Johns,12,1,4,1,6,59,29,29,1,1
,Surprise,138,4,28,46,60,"2,083",217,"1,729",137,10
,Tempe,889,8,141,209,531,"7,420",922,"5,891",607,19
,Thatcher,3,0,0,0,3,112,12,99,1,0
,Tolleson,68,0,4,20,44,666,206,390,70,0
,Tucson,"3,775",40,527,"1,105","2,103","17,943","2,497","13,196","2,250",142
,Wellton,5,0,1,0,4,31,9,20,2,0
,Wickenburg,17,0,4,0,13,148,32,93,23,0
,Willcox,7,0,0,0,7,127,29,89,9,1
,Williams,26,0,0,0,26,66,8,52,6,0
,Winslow,126,0,4,9,113,445,35,380,30,2
,Yuma,376,11,27,29,309,"2,302",483,"1,586",233,14
ARKANSAS,Alexander,15,0,6,0,9,73,16,54,3,0
,Alma,35,0,18,2,15,228,36,181,11,0
,Altus,0,0,0,0,0,22,10,12,0,0
,Amity,1,0,0,0,1,2,0,2,0,0
,Ashdown,13,0,3,0,10,102,22,74,6,0
,Ash Flat,5,0,0,0,5,40,3,36,1,0
,Atkins,11,0,6,0,5,76,7,60,9,0
,Augusta,12,0,5,0,7,31,4,25,2,0
,Austin,4,0,0,0,4,21,7,13,1,0
,Bald Knob,23,0,9,2,12,118,23,89,6,1
,Barling,28,0,9,0,19,75,5,66,4,0
,Batesville,29,0,5,2,22,262,37,212,13,0
,Bay,3,0,0,1,2,24,5,17,2,0
,Bearden,1,0,0,0,1,7,1,5,1,0
,Beebe,23,0,9,0,14,273,38,218,17,0
,Bella Vista,49,0,17,0,32,188,39,144,5,1
,Benton,212,4,18,27,163,"1,328",202,"1,000",126,6
,Bentonville,119,1,21,9,88,734,80,623,31,1
,Berryville,25,0,11,4,10,193,48,135,10,2
,Bethel Heights,4,0,4,0,0,18,3,14,1,0
,Blytheville,109,10,5,16,78,629,98,528,3,0
,Bono,6,0,3,0,3,28,6,19,3,0
,Booneville,17,1,2,0,14,107,34,70,3,0
,Bradford,2,0,0,0,2,8,0,7,1,0
,Brinkley,29,0,1,1,27,80,25,42,13,2
,Brookland,7,0,5,0,2,60,9,50,1,1
,Bryant,32,1,5,3,23,888,45,783,60,3
,Bull Shoals,2,0,0,0,2,21,6,14,1,0
,Cabot,100,0,39,3,58,371,62,256,53,2
,Caddo Valley,1,0,1,0,0,34,2,30,2,0
,Camden,113,0,8,10,95,373,84,274,15,4
,Cammack Village,0,0,0,0,0,14,1,12,1,0
,Carlisle,4,0,1,2,1,51,11,39,1,0
,Cave Springs,3,0,2,0,1,20,3,16,1,0
,Cedarville,10,0,2,1,7,19,2,12,5,0
,Centerton,53,2,21,1,29,139,35,96,8,0
,Charleston,7,0,2,0,5,24,8,16,0,0
,Cherokee Village,10,0,2,0,8,78,31,45,2,0
,Cherry Valley,1,0,0,0,1,8,4,4,0,0
,Clarksville,29,0,15,3,11,240,15,215,10,0
,Clinton,8,0,3,1,4,113,22,85,6,0
,Conway,324,2,49,51,222,"1,842",177,"1,567",98,8
